"FeatureName","DateCode","Value","Energy.Type"
"Stirling",2019,776.444,"Bioenergy & Wastes"
"Glasgow City",2019,3.316,"Manufactured Fuels"
"Stirling",2019,443.533,"Electricity"
"Shetland Islands",2019,0,"Gas"
"South Ayrshire",2019,460.867,"Electricity"
"South Ayrshire",2019,1271.917,"Gas"
"South Ayrshire",2019,3.322,"Coal"
"Perth and Kinross",2019,1026.798,"Gas"
"Midlothian",2019,339.297,"Electricity"
"Perth and Kinross",2019,8.811,"Manufactured Fuels"
"Perth and Kinross",2019,140.8,"Bioenergy & Wastes"
"South Ayrshire",2019,1092.019,"Petroleum Products"
"Shetland Islands",2019,356.371,"Petroleum Products"
"Inverclyde",2019,1.664,"Manufactured Fuels"
"South Lanarkshire",2019,12.329,"Coal"
"West Lothian",2019,7.195,"Manufactured Fuels"
"West Lothian",2019,2.275,"Coal"
"Glasgow City",2019,1.021,"Coal"
"Moray",2019,122.292,"Bioenergy & Wastes"
"Inverclyde",2019,641.771,"Gas"
"Clackmannanshire",2019,299.613,"Petroleum Products"
"West Lothian",2019,2168.363,"Gas"
"Fife",2019,1474.86,"Electricity"
"North Ayrshire",2019,2.37,"Coal"
"Clackmannanshire",2019,1.045,"Coal"
"Shetland Islands",2019,5.946,"Coal"
"West Dunbartonshire",2019,0.602,"Manufactured Fuels"
"Inverclyde",2019,436.062,"Petroleum Products"
"Inverclyde",2019,25.487,"Bioenergy & Wastes"
"Inverclyde",2019,293.605,"Electricity"
"Fife",2019,227.489,"Bioenergy & Wastes"
"Stirling",2019,1221.226,"Petroleum Products"
"Inverclyde",2019,0.477,"Coal"
"Midlothian",2019,62.901,"Bioenergy & Wastes"
"South Lanarkshire",2019,12.116,"Manufactured Fuels"
"Perth and Kinross",2019,11.528,"Coal"
"Shetland Islands",2019,179.84,"Electricity"
"Midlothian",2019,692.733,"Gas"
"Moray",2019,6.528,"Manufactured Fuels"
"South Ayrshire",2019,5.706,"Manufactured Fuels"
"West Lothian",2019,778.297,"Electricity"
"Glasgow City",2019,2657.998,"Electricity"
"Midlothian",2019,3.446,"Manufactured Fuels"
"South Ayrshire",2019,56.029,"Bioenergy & Wastes"
"Perth and Kinross",2019,2582.045,"Petroleum Products"
"Midlothian",2019,655.943,"Petroleum Products"
"Angus",2019,1240.624,"Petroleum Products"
"Falkirk",2019,2.46,"Coal"
"East Ayrshire",2019,1028.613,"Gas"
"Argyll and Bute",2019,1118.377,"Petroleum Products"
"Na h-Eileanan Siar",2019,41.332,"Bioenergy & Wastes"
"Dundee City",2019,612.727,"Electricity"
"North Ayrshire",2019,781.067,"Petroleum Products"
"Scottish Borders",2019,44.272,"Coal"
"Argyll and Bute",2019,7.009,"Manufactured Fuels"
"East Ayrshire",2019,6.539,"Manufactured Fuels"
"Argyll and Bute",2019,109.916,"Bioenergy & Wastes"
"Argyll and Bute",2019,502.244,"Electricity"
"Dundee City",2019,0.862,"Manufactured Fuels"
"Na h-Eileanan Siar",2019,366.632,"Petroleum Products"
"Dundee City",2019,1353.987,"Gas"
"North Lanarkshire",2019,2882.874,"Gas"
"Aberdeenshire",2019,1420.033,"Gas"
"Aberdeenshire",2019,30.111,"Coal"
"Dumfries and Galloway",2019,222.979,"Bioenergy & Wastes"
"Falkirk",2019,668.338,"Electricity"
"Aberdeenshire",2019,3651.28,"Petroleum Products"
